neighbors,std_err,.config,familia,target,.estimator,n,.metric,mean,num_of_knns
11,0.0030908439821468823,Preprocessor1_Model2,knn_weighted,seasonal_vaccine,binary,5,roc_auc,0.7963800755013464,1
17,0.002758115990593664,Preprocessor1_Model3,knn_weighted,seasonal_vaccine,binary,5,accuracy,0.7457219572024332,1
17,0.0035148787827041267,Preprocessor1_Model3,knn_weighted,seasonal_vaccine,binary,5,roc_auc,0.8076969510756626,1
23,0.0031413981953611475,Preprocessor1_Model4,knn_weighted,seasonal_vaccine,binary,5,accuracy,0.7495037260762812,1
23,0.0035969088401691437,Preprocessor1_Model4,knn_weighted,seasonal_vaccine,binary,5,roc_auc,0.8135748266817995,1
30,0.0033173665723136556,Preprocessor1_Model5,knn_weighted,seasonal_vaccine,binary,5,accuracy,0.7517127767920099,1
30,0.003507729360568301,Preprocessor1_Model5,knn_weighted,seasonal_vaccine,binary,5,roc_auc,0.8176801497529901,1
1,0.004447122003527402,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7056258594189554,10
1,0.004447122003527402,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.7795117567769957,10
3,0.00511013556155146,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7536061634974319,10
3,0.00511013556155146,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8105736109031002,10
5,0.00677523710424896,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7739566299646986,10
5,0.00677523710424896,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8186311217612701,10
7,0.002862094757667505,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7820377977419377,10
7,0.002862094757667505,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8192002396285757,10
1,0.008076085161241824,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7265794574741554,40
1,0.008076085161241824,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.7823273925415606,40
3,0.005075119891122633,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7564847484817998,40
3,0.005075119891122633,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8094353751684888,40
5,0.003364947532121298,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7761664482652612,40
5,0.003364947532121298,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.820338475363187,40
7,0.007168234610411312,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7837221519396572,40
7,0.007168234610411312,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8201887075033698,40
1,0.002473211132758365,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7340257839169997,70
1,0.002473211132758365,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.7879586640706905,70
3,0.004852339982154097,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7626313243944632,70
3,0.004852339982154097,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8101243073236484,70
5,0.006225372725164006,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7804331067838352,70
5,0.006225372725164006,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8200389396435525,70
7,0.004662569586585772,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7868328095820165,70
7,0.004662569586585772,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8245020218661075,70
1,0.005199555306352743,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7334885619312084,100
1,0.005199555306352743,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.7864909390444811,100
3,0.0020627770419890403,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7648058905873741,100
3,0.0020627770419890403,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.812460685936798,100
5,0.0038071685183731782,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7771674080773615,100
5,0.0038071685183731782,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8194997753482103,100
7,0.0017076163323335605,a,knn_hamming_bagging,h1n1_vaccine,binary,5,roc_auc,0.7885266786257099,100
7,0.0017076163323335605,a,knn_hamming_bagging,h1n1_vaccine,binary,5,accuracy,0.8246218361539613,100
1,0.006574962564771684,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.7448823595614026,10
1,0.006574962564771684,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.6836004193500075,10
3,0.005895034949413152,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.7921755894147038,10
3,0.005895034949413152,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7276321701362888,10
5,0.003817464940076291,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.8065570705841876,10
5,0.003817464940076291,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7455743597423993,10
7,0.00676728688929228,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.8108488258649404,10
7,0.00676728688929228,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7444660775797514,10
1,0.0017433647935933632,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.7583182500950502,40
1,0.0017433647935933632,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.6803953871499177,40
3,0.0056591644274522875,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.7976755272214998,40
3,0.0056591644274522875,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7367979631571064,40
5,0.0028503149240680565,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.8060238797364863,40
5,0.0028503149240680565,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7430283061255054,40
7,0.0043746574010980355,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.814615512928199,40
7,0.0043746574010980355,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7510558634117118,40
1,0.002800699023179213,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.7629953044708299,70
1,0.002800699023179213,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.6796765014227947,70
3,0.001196269315424037,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.7949424298074088,70
3,0.001196269315424037,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7355698667066047,70
5,0.006525995935463741,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.809152721574522,70
5,0.006525995935463741,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.744376216863861,70
7,0.006489114896227105,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.8163525404712229,70
7,0.006489114896227105,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7506964205481503,70
1,0.00436182018402988,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.761663659553137,100
1,0.00436182018402988,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.6796765014227947,100
3,0.002748148406580644,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.7937625177173632,100
3,0.002748148406580644,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7339823273925415,100
5,0.005287250917918016,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.8087963547841518,100
5,0.005287250917918016,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7433577954171035,100
7,0.0041214743578090055,a,knn_euc_bagging,seasonal_vaccine,binary,5,roc_auc,0.8166902355613007,100
7,0.0041214743578090055,a,knn_euc_bagging,seasonal_vaccine,binary,5,accuracy,0.7511457241276023,100
